"日期","名称","持仓成本","交易后持仓成本","收盘价","操作理由","操作总结","总结"
"2018-10-29","兖州煤业","11.45","11.21","10.15","财报不及预期，且管理层刻意隐藏利润，大概率暴跌","开盘未及时全部清仓，买回过早，盘中最大跌幅10%，收盘封死跌停","不持仓过财报，特别是国企"
"2018-10-30","兖州煤业","11.21","","","预计有一波小幅度反弹，反弹后先抛再买","",""
