"名称","代码","最新价","高","低","涨跌","涨跌幅","交易量","时间"
"登茨普利国际","XRAY","37.95","38.63","37.48","0.01","0.02%","2.23M","03:59:59"
"百事可乐公司","PEP","111.05","112.40","110.91","-0.45","-0.40%","3.84M","03:59:59"
"百健艾迪股份有限公司","BIIB","355.60","357.50","350.42","+6.23","+1.78%","1.22M","03:59:59"
"百度","BIDU","230.47","231.79","226.83","+2.05","+0.90%","1.98M","03:59:59"
"直觉外科公司","ISRG","569.69","572.22","568.00","+0.15","+0.03%","537.35K","03:59:59"
"科磊公司","KLAC","100.91","102.00","100.77","+0.33","+0.33%","1.23M","03:59:59"
"网易","NTES","225.56","225.75","218.29","+3.94","+1.78%","1.43M","03:59:59"
"罗斯百货有限公司","ROST","99.46","99.64","98.77","+0.29","+0.29%","2.15M","03:59:59"
"美信集成产品公司","MXIM","56.35","56.87","56.02","-0.17","-0.30%","3.24M","03:59:59"
"美元树公司","DLTR","82.08","84.41","81.93","-2.28","-2.70%","3.53M","03:59:59"
"美光科技公司","MU","44.99","45.52","44.05","+0.64","+1.44%","26.95M","03:59:59"
"美国塞纳公司","CERN","64.21","64.60","64.08","+0.02","+0.03%","952.52K","03:59:59"
"美国思杰公司","CTXS","110.89","111.64","110.81","-0.11","-0.10%","985.74K","03:59:59"
"美国航空集团公司","AAL","41.50","42.20","41.15","+0.46","+1.12%","5.65M","03:59:59"
"联合电脑公司","CA","44.01","44.11","44.01","-0.05","-0.11%","2.12M","03:59:59"
"自动数据处理公司","ADP","149.91","150.26","149.37","+0.29","+0.19%","957.15K","03:59:59"
"自由全球","LBTYA","29.06","29.49","28.84","+0.15","+0.52%","1.07M","03:59:59"
"自由全球","LBTYK","28.30","28.74","27.65","+0.09","+0.32%","2.58M","03:59:59"
"英伟达公司","NVDA","267.40","269.20","266.13","+0.48","+0.18%","5.36M","03:59:59"
"英特尔公司","INTC","45.88","46.17","45.73","+0.18","+0.39%","15.42M","03:59:59"
"苹果公司","AAPL","224.95","226.44","223.54","+4.53","+2.06%","30.18M","03:59:59"
"西部数据公司","WDC","58.28","59.20","58.08","-0.16","-0.27%","2.94M","03:59:59"
"谷歌A类股","GOOGL","1,207.36","1,216.86","1,198.05","+13.30","+1.11%","1.81M","03:59:59"
"财捷集团","INTU","222.82","224.31","222.49","+0.64","+0.29%","891.09K","03:59:59"
"费哲公司","FISV","81.63","82.05","81.52","-0.02","-0.02%","1.99M","03:59:59"
"赛灵思公司","XLNX","79.90","79.99","78.36","+1.59","+2.03%","2.66M","03:59:59"
"赛门铁克公司","SYMC","21.26","21.47","20.97","+0.23","+1.09%","6.07M","03:59:59"
"迈兰制药","MYL","37.07","37.60","36.91","-0.04","-0.11%","2.63M","03:59:59"
"铿腾电子","CDNS","45.01","45.12","44.76","+0.06","+0.13%","952.34K","03:59:59"
"阿斯麦公司","ASML","188.74","189.84","187.74","-0.06","-0.03%","298.68K","03:59:59"
"阿莱技术公司","ALGN","389.97","395.16","387.68","+0.74","+0.19%","447.35K","03:59:59"
"高知特信息技术有限公司","CTSH","76.76","77.55","76.50","-0.03","-0.04%","2.55M","03:59:59"
"高通公司","QCOM","71.71","72.68","71.48","-0.05","-0.07%","12.50M","03:59:59"
