"名称","代码","最新价","高","低","涨跌","涨跌幅","交易量","时间"
"Monster Beverage","MNST","58.32","59.13","58.11","+0.01","+0.02%","2.56M","03:59:59"
"Navient Corp.","NAVI","13.47","13.63","13.43","-0.12","-0.88%","1.54M","03:59:59"
"NRG能源","NRG","36.45","36.50","35.58","+0.89","+2.50%","3.86M","03:59:59"
"Packaging Corp. of America","PKG","110.54","112.30","110.44","-1.03","-0.92%","458.59K","03:59:59"
"PayPal","PYPL","88.99","90.70","88.86","-0.86","-0.96%","7.00M","03:59:59"
"Pinnacle West","PNW","78.09","78.58","77.19","+0.68","+0.88%","528.70K","03:59:59"
"PNC金融服务集团","PNC","137.34","138.64","137.13","-1.27","-0.92%","2.03M","03:59:59"
"PPG工业","PPG","108.99","110.39","108.92","-1.40","-1.27%","1.81M","03:59:59"
"PPL宾州电力公司","PPL","28.74","28.93","28.43","+0.39","+1.38%","3.82M","03:59:59"
"PVH Corp.","PVH","144.05","144.73","142.31","+1.36","+0.95%","966.92K","03:59:59"
"Qorvo, Inc.","QRVO","74.72","75.47","74.60","-0.34","-0.45%","876.63K","03:59:59"
"Ralph Lauren A","RL","137.66","139.20","136.18","+0.84","+0.62%","769.52K","03:59:59"
"Realty Income Corp.","O","56.12","56.43","55.84","+0.30","+0.54%","1.17M","03:59:59"
"Regency Centers Corp.","REG","63.46","64.02","63.37","+0.08","+0.13%","609.02K","03:59:59"
"SBA通信公司","SBAC","158.50","159.29","158.06","-0.01","-0.01%","464.50K","03:59:59"
"Seagate","STX","46.57","47.75","46.25","-0.50","-1.06%","3.59M","03:59:59"
"SL Green Realty Corp.","SLG","96.38","96.46","95.06","+1.18","+1.24%","646.08K","03:59:59"
"Synchrony Financial","SYF","31.57","31.98","31.57","-0.34","-1.07%","3.88M","03:59:59"
"Tapestry, Inc.","TPR","50.14","50.41","49.06","+0.45","+0.91%","2.48M","03:59:59"
"The Kraft Heinz Co.","KHC","55.04","55.78","54.32","-0.13","-0.24%","7.88M","03:59:59"
"TJX公司","TJX","111.81","112.39","111.40","+0.07","+0.06%","2.26M","03:59:59"
"TransDigm Group, Inc.","TDG","372.65","375.40","371.10","+2.78","+0.75%","277.55K","03:59:59"
"Twenty-First Century Fox, Inc.","FOX","45.49","45.77","45.14","+0.23","+0.51%","4.51M","03:59:59"
"UDR不动产信托","UDR","39.88","40.11","39.60","+0.28","+0.71%","1.28M","03:59:59"
"Ulta美容产品公司","ULTA","279.28","281.06","276.69","+0.95","+0.34%","685.83K","03:59:59"
"Universal Health Services, Inc.","UHS","126.33","128.38","126.09","-0.03","-0.02%","426.84K","03:59:59"
"Verisk Analytics, Inc.","VRSK","120.80","121.37","119.91","+0.12","+0.10%","547.17K","03:59:59"
"Vertex","VRTX","189.74","190.00","187.50","+3.09","+1.66%","1.38M","03:59:59"
"Walgreens Boots","WBA","73.81","74.57","72.51","+0.85","+1.17%","4.11M","03:59:59"
"Welltower","WELL","63.05","63.76","63.03","+0.09","+0.14%","1.30M","03:59:59"
"WestRock Co.","WRK","53.53","53.89","53.00","-0.16","-0.30%","1.38M","03:59:59"
"Willis Towers Watson Plc","WLTW","140.79","142.95","140.01","+0.43","+0.31%","532.40K","03:59:59"
"Zimmer Biomet Holdings, Inc.","ZBH","129.71","130.71","129.56","-0.08","-0.06%","1.03M","03:59:59"
"Zoetis, Inc.","ZTS","91.20","91.50","90.59","+0.84","+0.93%","1.41M","03:59:59"
"万事达卡公司","MA","222.31","223.61","222.06","+0.05","+0.02%","2.65M","03:59:59"
"万欧克","OKE","68.18","68.70","67.85","-0.23","-0.34%","2.13M","03:59:59"
"万豪国际","MAR","133.42","133.50","130.34","+2.44","+1.86%","1.94M","03:59:59"
"上巨实业医疗","HOLX","40.75","41.15","40.58","-0.30","-0.73%","1.22M","03:59:59"
"世纪电信公司","CTL","20.89","21.31","20.74","+0.16","+0.77%","9.13M","03:59:59"
"丘奇＆德怀特","CHD","58.89","59.51","58.83","-0.51","-0.86%","870.14K","03:59:59"
"中点能源","CNP","27.42","27.54","27.20","+0.17","+0.62%","21.04M","03:59:59"
"丹纳赫公司","DHR","108.18","109.23","107.94","-0.56","-0.52%","2.06M","03:59:59"
"五三银行","FITB","27.94","28.39","27.90","-0.33","-1.17%","3.89M","03:59:59"
"亚力兄制药","ALXN","138.27","138.87","135.10","+2.66","+1.96%","1.76M","03:59:59"
"亚历山大房地产股票有限公司","ARE","122.73","123.88","121.77","+1.23","+1.01%","599.89K","03:59:59"
"亚德诺半导体","ADI","92.18","92.54","91.61","-0.14","-0.15%","1.96M","03:59:59"
"亚瑟加拉格尔有限公司","AJG","74.45","74.75","73.95","+0.43","+0.58%","561.49K","03:59:59"
"亚马逊公司","AMZN","2,012.98","2,016.16","1,988.58","+38.13","+1.93%","4.33M","03:59:59"
"亨利香恩服务","HSIC","85.21","86.07","85.00","+0.29","+0.34%","944.63K","03:59:59"
"亨廷顿银行","HBAN","15.07","15.36","15.00","-0.25","-1.63%","23.66M","03:59:59"
"人民联合金融公司","PBCT","17.05","17.40","17.05","-0.15","-0.87%","6.71M","03:59:59"
"亿创理财","ETFC","52.78","53.31","52.63","-0.24","-0.45%","1.90M","03:59:59"
"亿滋国际公司","MDLZ","43.07","43.37","42.55","+0.09","+0.21%","7.60M","03:59:59"
"伊利诺工具集团","ITW","141.98","143.00","141.41","+0.05","+0.04%","856.70K","03:59:59"
"伊士曼化工公司","EMN","96.75","97.91","96.41","-0.96","-0.98%","727.01K","03:59:59"
"伊顿公司","ETN","86.76","87.33","86.55","-0.15","-0.17%","1.69M","03:59:59"
"休曼纳公司","HUM","335.08","335.50","333.25","+2.67","+0.80%","335.99K","03:59:59"
"伯克希尔·哈撒韦B","BRKb","216.70","217.68","215.23","+0.59","+0.27%","3.05M","03:59:59"
"佳明公司","GRMN","69.59","69.98","69.51","+0.02","+0.03%","835.81K","03:59:59"
"依欧格资源公司","EOG","127.00","127.65","125.72","+1.69","+1.35%","2.93M","03:59:59"
"保德信金融集团","PRU","101.06","102.00","100.49","-0.04","-0.04%","1.42M","03:59:59"
"信安金融集团","PFG","58.63","58.82","57.85","+0.61","+1.05%","1.68M","03:59:59"
"信诺","CI","206.35","206.63","202.96","+3.92","+1.94%","2.57M","03:59:59"
"信达思公司","CTAS","197.59","202.00","196.83","-3.57","-1.77%","1.17M","03:59:59"
"健保不动产投资","HCP","25.65","25.91","25.57","+0.09","+0.35%","1.93M","03:59:59"
"儒博实业","ROP","294.25","298.36","293.93","-1.79","-0.60%","443.59K","03:59:59"
"先锋自然资源","PXD","172.00","176.00","171.93","-1.84","-1.06%","1.75M","03:59:59"
"克罗格公司","KR","29.00","29.32","28.58","-0.39","-1.33%","9.54M","03:59:59"
"公共存储公司","PSA","199.49","202.42","199.15","-1.66","-0.83%","771.83K","03:59:59"
"公寓投资管理公司","AIV","43.41","43.70","43.27","+0.11","+0.25%","688.67K","03:59:59"
"共和服务公司","RSG","72.65","73.13","72.53","-0.06","-0.08%","974.23K","03:59:59"
"再生元制药公司","REGN","406.00","407.10","390.01","+14.47","+3.70%","813.16K","03:59:59"
